iter	Passed	Remaining
455	997	1189
456	999	1187
457	1000	1184
458	1003	1182
459	1005	1180
460	1009	1180
461	1012	1179
462	1018	1181
463	1020	1179
464	1025	1180
465	1029	1180
466	1031	1177
467	1034	1175
468	1035	1172
469	1040	1173
470	1047	1176
471	1051	1175
472	1065	1186
473	1067	1184
474	1072	1185
475	1074	1183
476	1076	1180
477	1078	1178
478	1081	1175
479	1083	1174
480	1088	1174
481	1090	1172
482	1092	1169
483	1094	1167
484	1096	1164
485	1106	1169
486	1107	1166
487	1109	1163
488	1110	1160
489	1111	1157
490	1113	1153
491	1119	1155
492	1120	1152
493	1122	1149
494	1123	1146
495	1124	1143
496	1126	1139
497	1127	1136
498	1128	1133
499	1133	1133
500	1135	1130
501	1136	1127
502	1138	1124
503	1140	1122
504	1141	1119
505	1143	1116
506	1144	1113
507	1146	1110
508	1148	1107
509	1149	1104
510	1151	1102
511	1153	1099
512	1155	1096
513	1157	1094
514	1161	1094
515	1163	1091
516	1165	1089
517	1167	1086
518	1169	1084
519	1179	1088
520	1181	1086
521	1183	1083
522	1185	1081
523	1188	1079
524	1192	1079
525	1194	1076
526	1196	1073
527	1198	1071
528	1200	1068
529	1202	1066
530	1206	1065
531	1208	1062
532	1209	1060
533	1211	1057
534	1215	1056
535	1217	1053
536	1221	1053
537	1223	1050
538	1225	1048
539	1227	1045
540	1229	1043
541	1231	1040
542	1240	1043
543	1242	1041
544	1246	1040
545	1248	1037
546	1252	1037
547	1254	1035
548	1257	1032
549	1259	1030
550	1261	1027
551	1262	1024
552	1267	1024
553	1269	1021
554	1271	1019
555	1273	1017
556	1278	1016
557	1282	1015
558	1284	1013
559	1285	1010
560	1287	1007
561	1288	1004
562	1294	1004
563	1295	1001
564	1297	998
565	1298	995
566	1300	992
567	1301	990
568	1303	987
569	1304	984
570	1309	983
571	1311	981
572	1312	978
573	1314	975
574	1317	973
575	1319	971
576	1323	970
577	1325	967
578	1326	964
579	1328	961
580	1330	959
581	1331	956
582	1333	953
583	1337	952
584	1340	951
585	1345	950
586	1346	947
587	1348	944
588	1352	943
589	1353	940
590	1354	937
591	1356	934
592	1358	932
593	1359	929
594	1361	926
595	1363	923
596	1367	922
597	1368	919
598	1369	916
599	1371	914
600	1372	911
601	1373	908
602	1374	904
603	1375	901
604	1376	898
605	1378	896
606	1381	894
607	1382	891
608	1383	888
609	1386	886
610	1387	883
611	1388	880
612	1389	877
613	1390	874
614	1391	871
615	1392	868
616	1396	866
617	1397	863
618	1398	860
619	1400	858
620	1401	855
621	1404	853
622	1408	852
623	1412	851
624	1413	848
625	1414	845
626	1415	842
627	1417	839
628	1418	836
629	1419	833
630	1420	830
631	1421	827
632	1422	824
633	1423	821
634	1426	820
635	1427	817
636	1428	814
637	1429	811
638	1430	808
639	1431	805
640	1432	802
641	1433	799
642	1434	796
643	1435	793
644	1436	790
645	1437	787
646	1441	786
647	1442	783
648	1443	780
649	1444	777
650	1445	774
651	1446	772
652	1448	769
653	1448	766
654	1449	763
655	1451	760
656	1452	758
657	1455	756
658	1456	753
659	1457	750
660	1458	748
661	1459	745
662	1460	742
663	1461	739
664	1462	736
665	1463	734
666	1464	731
667	1465	728
668	1466	725
669	1467	723
670	1471	721
671	1472	718
672	1473	715
673	1474	713
674	1475	710
675	1476	707
676	1477	704
677	1478	702
678	1479	699
679	1481	696
680	1482	694
681	1485	692
682	1486	689
683	1487	687
684	1488	684
685	1489	681
686	1490	679
687	1491	676
688	1493	673
689	1494	671
690	1495	668
691	1496	666
692	1500	664
693	1501	662
694	1503	659
695	1504	657
696	1506	654
697	1507	652
698	1508	649
699	1509	647
700	1510	644
701	1511	641
702	1514	640
703	1516	637
704	1517	634
705	1518	632
706	1519	629
707	1521	627
708	1522	624
709	1523	622
710	1524	619
711	1526	617
712	1530	615
713	1531	613
714	1533	611
715	1534	608
716	1535	606
717	1536	603
718	1537	601
719	1539	598
720	1540	595
721	1541	593
722	1544	591
723	1545	589
724	1546	586
725	1547	584
726	1548	581
727	1549	579
728	1550	576
729	1551	573
730	1553	571
731	1554	568
732	1555	566
733	1556	563
734	1559	562
735	1560	559
736	1561	557
737	1562	554
738	1563	552
739	1564	549
740	1565	547
741	1567	544
742	1568	542
743	1569	539
744	1570	537
745	1571	535
746	1572	532
747	1573	530
748	1574	527
749	1575	525
750	1576	522
751	1577	520
752	1579	518
753	1580	515
754	1581	513
755	1582	510
756	1583	508
757	1586	506
758	1587	504
759	1588	501
760	1590	499
761	1591	496
762	1592	494
763	1593	492
764	1594	489
765	1595	487
766	1596	485
767	1597	482
768	1598	480
769	1601	478
770	1602	476
771	1603	473
772	1604	471
773	1606	468
774	1607	466
775	1608	464
776	1609	461
777	1610	459
778	1611	457
779	1612	454
780	1613	452
781	1616	450
782	1617	448
783	1618	445
784	1619	443
785	1621	441
786	1622	439
787	1623	436
788	1624	434
789	1625	432
790	1626	429
791	1627	427
792	1630	425
793	1631	423
794	1632	421
795	1634	418
796	1635	416
797	1636	414
798	1637	411
799	1638	409
800	1639	407
801	1640	405
802	1641	402
803	1642	400
804	1646	398
805	1647	396
806	1648	394
807	1649	391
808	1650	389
809	1651	387
810	1652	385
811	1653	382
812	1654	380
813	1655	378
814	1656	376
815	1657	373
816	1661	372
817	1662	369
818	1663	367
819	1664	365
820	1665	363
821	1666	360
822	1667	358
823	1668	356
824	1669	354
825	1671	352
826	1672	349
827	1675	348
828	1676	345
829	1677	343
830	1678	341
831	1680	339
832	1681	337
833	1682	334
834	1683	332
835	1684	330
836	1685	328
837	1686	326
838	1690	324
839	1691	322
840	1692	320
841	1694	317
842	1695	315
843	1696	313
844	1698	311
845	1699	309
846	1700	307
847	1701	305
848	1705	303
849	1706	301
850	1707	298
851	1708	296
852	1709	294
853	1710	292
854	1712	290
855	1713	288
856	1714	286
857	1715	283
858	1717	281
859	1718	279
860	1719	277
861	1720	275
862	1721	273
863	1722	271
864	1723	269
865	1727	267
866	1728	265
867	1729	262
868	1732	261
869	1733	259
870	1734	256
871	1735	254
872	1736	252
873	1738	250
874	1739	248
875	1740	246
876	1741	244
877	1742	242
878	1743	240
879	1747	238
880	1748	236
881	1749	234
882	1750	231
883	1751	229
884	1752	227
885	1753	225
886	1754	223
887	1755	221
888	1756	219
889	1757	217
890	1758	215
891	1762	213
892	1763	211
893	1764	209
894	1765	207
895	1766	205
896	1767	202
897	1768	200
898	1769	198
899	1770	196
900	1771	194
901	1772	192
902	1773	190
903	1777	188
904	1778	186
905	1779	184
906	1780	182
907	1781	180
908	1782	178
909	1783	176
910	1784	174
911	1785	172
912	1786	170
913	1787	168
914	1788	166
915	1792	164
916	1793	162
917	1794	160
918	1795	158
919	1796	156
920	1797	154
921	1798	152
922	1799	150
923	1800	148
924	1801	146
925	1802	144
926	1803	142
927	1806	140
928	1808	138
929	1809	136
930	1810	134
931	1811	132
932	1812	130
933	1813	128
934	1814	126
935	1815	124
936	1816	122
937	1817	120
938	1821	118
939	1822	116
940	1823	114
941	1824	112
942	1825	110
943	1826	108
944	1828	106
945	1829	104
946	1830	102
947	1831	100
948	1832	98
949	1836	96
950	1837	94
951	1839	92
952	1840	90
953	1841	88
954	1843	86
955	1844	84
956	1845	82
957	1846	80
958	1847	79
959	1849	77
960	1850	75
961	1851	73
962	1852	71
963	1853	69
964	1854	67
965	1855	65
966	1856	63
967	1857	61
968	1858	59
969	1859	57
970	1862	55
971	1864	53
972	1865	51
973	1866	49
974	1867	47
975	1868	45
976	1869	44
977	1870	42
978	1870	40
979	1871	38
980	1872	36
981	1873	34
982	1874	32
983	1877	30
984	1878	28
985	1879	26
986	1880	24
987	1881	22
988	1882	20
989	1883	19
990	1884	17
991	1885	15
992	1886	13
993	1887	11
994	1887	9
995	1889	7
996	1892	5
997	1893	3
998	1894	1
999	1895	0
